strain	date	location	subclade_membership	clade_membership	country	database	region	accession	author
GS_008VSCK.1	2022-11-13		D	5a.2a.1	USA			GS_008VSCK.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009DK9W.1	2022-12-01		D	5a.2a.1	USA			GS_009DK9W.1	Nunley, E.; Xie, H.; Sereewit, J.; Varela, C.; Kim, D. Y.; Goya, S.; Greninger, A.
GS_0094MC6.1	2022-12-25		D	5a.2a.1	United Kingdom			GS_0094MC6.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094KMP.1	2022-12-23		D	5a.2a.1	United Kingdom			GS_0094KMP.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_009J5ZJ.1	2023-06-15		D	5a.2a.1	USA			GS_009J5ZJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0094LJU.1	2022-12-07		D	5a.2a.1	United Kingdom			GS_0094LJU.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_009C4KS.1	2023-03-21		D.1	5a.2a.1	USA			GS_009C4KS.1	Direct Submission,
GS_00A64YB.1	2023-12-28		D.1	5a.2a.1	USA			GS_00A64YB.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZJPV.1	2023-10-31		D.1	5a.2a.1	USA			GS_009ZJPV.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WMZC.1	2023-12-04		D.1	5a.2a.1	USA			GS_009WMZC.1	Lauring, A. S.; Papalambros, L. K.
GS_00A5E7L.1	2023-12-06		D.1	5a.2a.1	USA			GS_00A5E7L.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009XQLZ.1	2023-12-15		D.1	5a.2a.1	USA			GS_009XQLZ.1	Lauring, A. S.; Papalambros, L. K.
GS_00A0S2U.1	2024-01-16		D.1	5a.2a.1	USA			GS_00A0S2U.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZQAG.1	2024-01-02		D.1	5a.2a.1	USA			GS_009ZQAG.1	Lauring, A. S.; Papalambros, L. K.
GS_00AGUPK.1	2024-04-02		D.1	5a.2a.1	USA			GS_00AGUPK.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A50UR.1	2023-12-27		D.1	5a.2a.1	USA			GS_00A50UR.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A9QEN.1	2024-01-11		D.1	5a.2a.1	USA			GS_00A9QEN.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WMEH.1	2023-12-02		D.1	5a.2a.1	USA			GS_009WMEH.1	Lauring, A. S.; Papalambros, L. K.
GS_00A0UAA.1	2024-01-29		D.1	5a.2a.1	USA			GS_00A0UAA.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZQNR.1	2024-01-04		D.1	5a.2a.1	USA			GS_009ZQNR.1	Lauring, A. S.; Papalambros, L. K.
GS_00A2MJW.1	2024-02-26		D.1	5a.2a.1	USA			GS_00A2MJW.1	Lauring, A. S.; Papalambros, L. K.
m2-wVBQbT	2024-05-29	VD	D.1	5a.2a.1	Switzerland	ReVSeq	Europe	m2-wVBQbT	
GS_009W4QD.1	2024-01-30		D.1	5a.2a.1	Switzerland			GS_009W4QD.1	
GS_00AGUW5.1	2024-04-24		D.1	5a.2a.1	USA			GS_00AGUW5.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4UEU.1	2023-11-21		D.1	5a.2a.1	USA			GS_00A4UEU.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A0CJ9.1	2024-01-12		D.1	5a.2a.1	USA			GS_00A0CJ9.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00AHB7Y.1	2024-01-29		D.1	5a.2a.1	USA			GS_00AHB7Y.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A0674.1	2024-01-02		D.1	5a.2a.1	USA			GS_00A0674.1	Lauring, A. S.; Papalambros, L. K.
GS_00AH6EP.1	2024-02-10		D.1	5a.2a.1	USA			GS_00AH6EP.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A1U8C.1	2024-01-01		D.1	5a.2a.1	USA			GS_00A1U8C.1	Lauring, A. S.; Papalambros, L. K.
GS_009YNJ3.1	2023-12-19		D.1	5a.2a.1	United Kingdom			GS_009YNJ3.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A3BUJ.1	2023-11-15		D.1	5a.2a.1	USA			GS_00A3BUJ.1	Garrigues, J. M.; Green, N. M.
GS_009WMRU.1	2023-12-08		D.1	5a.2a.1	USA			GS_009WMRU.1	Lauring, A. S.; Papalambros, L. K.
GS_009XSJ1.1	2024-01-09		D.1	5a.2a.1	USA			GS_009XSJ1.1	Lauring, A. S.; Papalambros, L. K.
GS_00A52PZ.1	2023-11-28		D.1	5a.2a.1	USA			GS_00A52PZ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A03WU.1	2023-11-28		D.1	5a.2a.1	USA			GS_00A03WU.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A9Q56.1	2023-12-15		D.1	5a.2a.1	USA			GS_00A9Q56.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009XB59.1	2023-12-20		D.1	5a.2a.1	USA			GS_009XB59.1	Lauring, A. S.; Papalambros, L. K.
GS_009Z2U1.1	2023-11-08		D.1	5a.2a.1	USA			GS_009Z2U1.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4ZXN.1	2023-12-11		D.1	5a.2a.1	USA			GS_00A4ZXN.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A56WF.1	2023-12-22		D.1	5a.2a.1	USA			GS_00A56WF.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A25XL.1	2024-02-12		D.1	5a.2a.1	United Kingdom			GS_00A25XL.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A4RU2.1	2023-12-17		D.1	5a.2a.1	USA			GS_00A4RU2.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Y6DW.1	2023-10-11		D.1	5a.2a.1	Puerto Rico			GS_009Y6DW.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009Y6EU.1	2023-10-10		D.1	5a.2a.1	Puerto Rico			GS_009Y6EU.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009WHDP.1	2023-11-20		D.1	5a.2a.1	USA			GS_009WHDP.1	Lauring, A. S.; Papalambros, L. K.
GS_009YR4V.1	2023-12-26		D.1	5a.2a.1	USA			GS_009YR4V.1	Lauring, A. S.; Papalambros, L. K.
GS_009WJYH.1	2023-10-31		D.1	5a.2a.1	USA			GS_009WJYH.1	Lauring, A. S.; Papalambros, L. K.
GS_009WPNY.1	2023-12-09		D.1	5a.2a.1	USA			GS_009WPNY.1	Lauring, A. S.; Papalambros, L. K.
GS_009X9ET.1	2023-12-22		D.1	5a.2a.1	USA			GS_009X9ET.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZEUP.1	2023-11-09		D.1	5a.2a.1	USA			GS_009ZEUP.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WH0F.1	2023-11-14		D.1	5a.2a.1	USA			GS_009WH0F.1	Lauring, A. S.; Papalambros, L. K.
GS_009WEKD.1	2023-11-14		D.1	5a.2a.1	USA			GS_009WEKD.1	Lauring, A. S.; Papalambros, L. K.
GS_009WEYM.1	2023-11-18		D.1	5a.2a.1	USA			GS_009WEYM.1	Lauring, A. S.; Papalambros, L. K.
GS_009WJ0E.1	2023-11-30		D.1	5a.2a.1	USA			GS_009WJ0E.1	Lauring, A. S.; Papalambros, L. K.
GS_00AEPUJ.1	2024-02-06		D.1	5a.2a.1	USA			GS_00AEPUJ.1	Simas, A.; Rothstein, A.; Sum, A.; Muir, G.; Qiu, X.
GS_009X7U0.1	2023-12-27		D.1	5a.2a.1	USA			GS_009X7U0.1	Lauring, A. S.; Papalambros, L. K.
GS_009WULX.1	2023-10-25		D.1	5a.2a.1	Japan			GS_009WULX.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00AAEC0.1	2024-01-08		D.1	5a.2a.1	USA			GS_00AAEC0.1	Roychoudhury, P.; Xie, H.; Sereewit, J.; Ellis, S. E.; Greninger, A.
GS_00A4Y3C.1	2023-11-10		D.1	5a.2a.1	USA			GS_00A4Y3C.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009XB4B.1	2023-12-20		D.1	5a.2a.1	USA			GS_009XB4B.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZQW9.1	2024-01-04		D.1	5a.2a.1	USA			GS_009ZQW9.1	Lauring, A. S.; Papalambros, L. K.
GS_00A3BQS.1	2024-02-07		D.1	5a.2a.1	USA			GS_00A3BQS.1	Garrigues, J. M.; Green, N. M.
GS_00A9R0F.1	2024-02-15		D.1	5a.2a.1	USA			GS_00A9R0F.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AKQ1T.1	2024-02-02		D.1	5a.2a.1	USA			GS_00AKQ1T.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AKX0N.1	2024-02-17		D.1	5a.2a.1	USA			GS_00AKX0N.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009YBDR.1	2023-11-20		D.1	5a.2a.1	USA			GS_009YBDR.1	Lauring, A. S.; Papalambros, L. K.
GS_009Y6NB.1	2023-11-21		D.1	5a.2a.1	USA			GS_009Y6NB.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A5CUD.1	2023-11-29		D.1	5a.2a.1	USA			GS_00A5CUD.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WMK6.1	2023-12-05		D.1	5a.2a.1	USA			GS_009WMK6.1	Lauring, A. S.; Papalambros, L. K.
GS_009P78P.1	2023-08-30		D.1	5a.2a.1	USA			GS_009P78P.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5EV9.1	2023-12-11		D.1	5a.2a.1	USA			GS_00A5EV9.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A47GB.1	2023-12-28		D.1	5a.2a.1	USA			GS_00A47GB.1	Carpenter-Azevedo, K.; Sierra-Patev, S.; Gosselin, G.; Sowa, C.; Huard, R.
GS_009X886.1	2023-12-29		D.1	5a.2a.1	USA			GS_009X886.1	Lauring, A. S.; Papalambros, L. K.
GS_00A4TXU.1	2024-01-02		D.1	5a.2a.1	USA			GS_00A4TXU.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A9TQY.1	2024-02-07		D.1	5a.2a.1	USA			GS_00A9TQY.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z70K.1	2023-09-21		D.1	5a.2a.1	USA			GS_009Z70K.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AKXFS.1	2023-10-04		D.1	5a.2a.1	USA			GS_00AKXFS.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZFWJ.1	2023-10-14		D.1	5a.2a.1	USA			GS_009ZFWJ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZM05.1	2023-10-21		D.1	5a.2a.1	USA			GS_009ZM05.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZKRQ.1	2023-11-02		D.1	5a.2a.1	USA			GS_009ZKRQ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WKM4.1	2023-11-07		D.1	5a.2a.1	USA			GS_009WKM4.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZL7S.1	2023-11-10		D.1	5a.2a.1	USA			GS_009ZL7S.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WGN5.1	2023-11-13		D.1	5a.2a.1	USA			GS_009WGN5.1	Lauring, A. S.; Papalambros, L. K.
GS_00A5624.1	2023-11-20		D.1	5a.2a.1	USA			GS_00A5624.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A9Q48.1	2023-12-15		D.1	5a.2a.1	USA			GS_00A9Q48.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A06SZ.1	2024-01-02		D.1	5a.2a.1	USA			GS_00A06SZ.1	Lauring, A. S.; Papalambros, L. K.
GS_009YAN7.1	2023-11-05		D.1	5a.2a.1	USA			GS_009YAN7.1	Lauring, A. S.; Papalambros, L. K.
GS_009SR8Z.1	2023-09-02		D.1	5a.2a.1	USA			GS_009SR8Z.1	Lauring, A. S.; Papalambros, L.
GS_009WUBG.1	2023-11-05		D.1	5a.2a.1	Japan			GS_009WUBG.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A59K0.1	2023-10-31		D.1	5a.2a.1	USA			GS_00A59K0.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZDAT.1	2023-12-03		D.1	5a.2a.1	USA			GS_009ZDAT.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A38WH.1	2024-02-29		D.1	5a.2a.1	USA			GS_00A38WH.1	Lauring, A. S.; Papalambros, L. K.
GS_00A57K2.1	2023-12-27		D.1	5a.2a.1	USA			GS_00A57K2.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZJGA.1	2023-10-09		D.1	5a.2a.1	USA			GS_009ZJGA.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZECN.1	2023-10-19		D.1	5a.2a.1	USA			GS_009ZECN.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A57VG.1	2023-12-06		D.1	5a.2a.1	USA			GS_00A57VG.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009YA82.1	2023-11-02		D.1	5a.2a.1	USA			GS_009YA82.1	Lauring, A. S.; Papalambros, L. K.
GS_00A4UCY.1	2023-11-03		D.1	5a.2a.1	USA			GS_00A4UCY.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009W58B.1	2023-11-28		D.1	5a.2a.1	United Kingdom			GS_009W58B.1	Kwok, K.; Vink, E.; Smollett, K.; Evans, J.; Lowe, D.; Thomson, E.; da Silva Filipe, A.; Ho, A.
GS_00A3G8L.1	2024-01-14		D.1	5a.2a.1	USA			GS_00A3G8L.1	Garrigues, J. M.; Green, N. M.
GS_00A3GDA.1	2023-12-07		D.1	5a.2a.1	USA			GS_00A3GDA.1	Garrigues, J. M.; Green, N. M.
GS_00A4UZP.1	2023-12-04		D.1	5a.2a.1	USA			GS_00A4UZP.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z9GK.1	2023-11-08		D.1	5a.2a.1	USA			GS_009Z9GK.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZD1B.1	2023-11-03		D.1	5a.2a.1	USA			GS_009ZD1B.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A656V.1	2023-12-11		D.1	5a.2a.1	USA			GS_00A656V.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AFWD6.1	2023-12-28		D.1	5a.2a.1	USA			GS_00AFWD6.1	Carpenter-Azevedo, K.; Sierra-Patev, S.; Gosselin, G.; Sowa, C.; Huard, R.
GS_00A4TCZ.1	2023-11-11		D.1	5a.2a.1	USA			GS_00A4TCZ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZKWE.1	2023-11-27		D.1	5a.2a.1	USA			GS_009ZKWE.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5E5Q.1	2023-12-06		D.1	5a.2a.1	USA			GS_00A5E5Q.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A66LZ.1	2024-02-13		D.1	5a.2a.1	USA			GS_00A66LZ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009YNSM.1	2023-12-11		D.1	5a.2a.1	USA			GS_009YNSM.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009SPUU.1	2023-09-26		D.1	5a.2a.1	USA			GS_009SPUU.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A4UNB.1	2023-12-05		D.1	5a.2a.1	USA			GS_00A4UNB.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A57YA.1	2023-12-16		D.1	5a.2a.1	USA			GS_00A57YA.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z8FN.1	2023-10-23		D.1	5a.2a.1	USA			GS_009Z8FN.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZP4V.1	2024-01-14		D.1	5a.2a.1	USA			GS_009ZP4V.1	Lauring, A. S.; Papalambros, L. K.
GS_00AFWQH.1	2024-01-08		D.1	5a.2a.1	USA			GS_00AFWQH.1	Carpenter-Azevedo, K.; Sierra-Patev, S.; Gosselin, G.; Sowa, C.; Huard, R.
GS_009Z3T2.1	2023-12-06		D.1	5a.2a.1	USA			GS_009Z3T2.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A664Y.1	2024-01-04		D.1	5a.2a.1	USA			GS_00A664Y.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4VS2.1	2023-12-29		D.1	5a.2a.1	USA			GS_00A4VS2.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009WU3Y.1	2023-11-14		D.1	5a.2a.1	USA			GS_009WU3Y.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A9NKD.1	2024-03-11		D.1	5a.2a.1	USA			GS_00A9NKD.1	Roychoudhury, P.; Xie, H.; Sereewit, J.; Ellis, S.; Greninger, A.
GS_00A5137.1	2023-12-18		D.1	5a.2a.1	USA			GS_00A5137.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AFWKT.1	2024-02-21		D.1	5a.2a.1	USA			GS_00AFWKT.1	Carpenter-Azevedo, K.; Sierra-Patev, S.; Gosselin, G.; Sowa, C.; Huard, R.
GS_00AH44B.1	2024-03-11		D.1	5a.2a.1	USA			GS_00AH44B.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AH43D.1	2024-03-11		D.1	5a.2a.1	USA			GS_00AH43D.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5DVA.1	2024-01-11		D.1	5a.2a.1	USA			GS_00A5DVA.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z91F.1	2023-09-19		D.1	5a.2a.1	USA			GS_009Z91F.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZFBP.1	2023-10-29		D.1	5a.2a.1	USA			GS_009ZFBP.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z4R5.1	2023-09-12		D.1	5a.2a.1	USA			GS_009Z4R5.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A310H.1	2023-11-17		D.1	5a.2a.1	Hong Kong			GS_00A310H.1	Cowling, B. J.; Leung, N. H. L.; Cheng, S. M. S.; Peiris, M.
GS_00A51RW.1	2023-12-26		D.1	5a.2a.1	USA			GS_00A51RW.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z5CX.1	2023-11-12		D.1	5a.2a.1	USA			GS_009Z5CX.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZEAS.1	2023-10-17		D.1	5a.2a.1	USA			GS_009ZEAS.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z9VS.1	2023-09-23		D.1	5a.2a.1	USA			GS_009Z9VS.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A50K9.1	2023-11-13		D.1	5a.2a.1	USA			GS_00A50K9.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AKWR6.1	2024-02-23		D.1	5a.2a.1	USA			GS_00AKWR6.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A7VEM.1	2024-02-07		D.1	5a.2a.1	USA			GS_00A7VEM.1	Lauring, A. S.; Papalambros, L. K.
GS_009WF2D.1	2023-11-21		D.1	5a.2a.1	USA			GS_009WF2D.1	Lauring, A. S.; Papalambros, L. K.
GS_009XN5Y.1	2023-12-04		D.1	5a.2a.1	USA			GS_009XN5Y.1	Lauring, A. S.; Papalambros, L. K.
GS_00A9UL5.1	2023-12-03		D.1	5a.2a.1	USA			GS_00A9UL5.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZBSW.1	2023-10-09		D.1	5a.2a.1	USA			GS_009ZBSW.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009XBTY.1	2023-12-15		D.1	5a.2a.1	USA			GS_009XBTY.1	Lauring, A. S.; Papalambros, L. K.
GS_00A508Y.1	2023-12-19		D.1	5a.2a.1	USA			GS_00A508Y.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Y8LD.1	2023-12-08		D.1	5a.2a.1	USA			GS_009Y8LD.1	Lauring, A. S.; Papalambros, L. K.
GS_00A9UK7.1	2023-12-05		D.1	5a.2a.1	USA			GS_00A9UK7.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z874.1	2023-11-19		D.1	5a.2a.1	USA			GS_009Z874.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z8AY.1	2023-11-26		D.1	5a.2a.1	USA			GS_009Z8AY.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4ZUU.1	2023-12-01		D.1	5a.2a.1	USA			GS_00A4ZUU.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A500E.1	2023-12-15		D.1	5a.2a.1	USA			GS_00A500E.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5533.1	2024-01-07		D.1	5a.2a.1	USA			GS_00A5533.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZE52.1	2023-10-25		D.1	5a.2a.1	USA			GS_009ZE52.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZC9W.1	2023-12-04		D.1	5a.2a.1	USA			GS_009ZC9W.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4Y1G.1	2023-11-07		D.1	5a.2a.1	USA			GS_00A4Y1G.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5TFR.1	2024-02-26		D.1	5a.2a.1	USA			GS_00A5TFR.1	Lauring, A. S.; Papalambros, L. K.
GS_009YAM9.1	2023-11-11		D.1	5a.2a.1	USA			GS_009YAM9.1	Lauring, A. S.; Papalambros, L. K.
GS_009ZBZG.1	2023-11-29		D.1	5a.2a.1	USA			GS_009ZBZG.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A031K.1	2023-12-07		D.1	5a.2a.1	USA			GS_00A031K.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5EX5.1	2023-12-17		D.1	5a.2a.1	USA			GS_00A5EX5.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AKXKH.1	2023-10-11		D.1	5a.2a.1	USA			GS_00AKXKH.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Z3FT.1	2023-10-11		D.1	5a.2a.1	USA			GS_009Z3FT.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZBJC.1	2023-10-25		D.1	5a.2a.1	USA			GS_009ZBJC.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009ZBP2.1	2023-12-02		D.1	5a.2a.1	USA			GS_009ZBP2.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A59BH.1	2023-12-22		D.1	5a.2a.1	USA			GS_00A59BH.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A5BSJ.1	2024-01-16		D.1	5a.2a.1	USA			GS_00A5BSJ.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
